id,name,address,capacity,price
47,舞齡咖啡館,台灣臺北市內湖區 新明路179號 12 樓,25,1000
48,黎明書局/好時光咖啡,台灣臺北市內湖區 新明路179號 12 樓,10,250
49,TeSA臺灣電子商務創業暨聯誼協會,台灣臺北市內湖區 新明路179號 12 樓,70,4500
50,TeSA臺灣電子商務創業暨聯誼協會,台灣臺北市內湖區 新明路179號 12 樓,50,3500
51,TeSA臺灣電子商務創業暨聯誼協會,台灣臺北市中正區 青島東路 7 號 2 樓之 1,30,2500
52,TeSA臺灣電子商務創業暨聯誼協會,台灣臺北市中正區 青島東路 7 號 2 樓之 1,12,1500
53,小巷柒食,台灣臺北市中正區 青島東路 7 號 2 樓之 1,10,1000
54,Triangle三角空間,台灣臺北市中正區 青島東路 7 號 2 樓之 1,20,1000
55,窩客文化,台灣臺北市中正區 青島東路 7 號 2 樓之 1,20,500
56,樂齡協會,台灣臺北市中正區 青島東路 7 號 2 樓之 1,20,560
57,GEOS大世界外語學院,台灣臺北市中正區 青島東路 7 號 2 樓之 1,10,500
58,GEOS大世界外語學院,台灣臺北市中正區 青島東路 7 號 2 樓之 1,10,500
59,昕群音樂展演教學中心,台灣臺北市中正區 青島東路 7 號 2 樓之 1,2,180
60,艾諾瑪空間,台灣臺北市中正區 青島東路 7 號 2 樓之 1,30,150
61,府都建設One+_All for kids,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,60,2000
62,潤學商務共享中心,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,70,3000
63,潤學商務共享中心,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,20,1200
64,伴工勤美館,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,10,300
65,拿鐵管理共享空間,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,10,834
66,威保智能國際商務中心,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,100,500
67,三絕音樂,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,8,200
68,萊客共享空間,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,75,2250
69,玄牝. Marwygafen.,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,20,700
70,玄牝. Marwygafen.,台灣臺南市東區 長榮路一段地下 1 樓 納川 室,10,350
71,玄牝. Marwygafen.,台灣臺北市松山區 光復北路154號 4 樓,10,350
72,玄牝. Marwygafen.,台灣臺北市松山區 光復北路154號 4 樓,30,900
73,MASTER PROJECT STUDIO,台灣臺北市松山區 光復北路154號 4 樓,15,800
74,C&W 商務中心,台灣臺北市松山區 光復北路154號 4 樓,10,500
75,萊客共享空間,台灣臺北市松山區 光復北路154號 4 樓,36,1800
76,萊客共享空間,台灣臺北市松山區 光復北路154號 4 樓,135,5250
77,萊客共享空間,台灣臺北市松山區 光復北路154號 4 樓,64,5850
78,萊客共享空間,台灣臺北市松山區 光復北路154號 4 樓,30,1440
79,萊客共享空間,台灣臺北市松山區 光復北路154號 4 樓,220,11100
80,Damngood.tw,台灣臺北市松山區 光復北路154號 4 樓,55,3000
81,夏洛特高雄美術館體驗店,台灣高雄市鼓山區 河西一路1435號 2 樓,2,150
82,Uni Furniture&Studio,台灣高雄市鼓山區 河西一路1435號 2 樓,15,350
83,苔蘚視角文化工作室,台灣高雄市鼓山區 河西一路1435號 2 樓,25,500
84,好映故事廣告創意有限公司,台灣高雄市鼓山區 河西一路1435號 2 樓,20,600
85,巴米爾咖啡,台灣高雄市鼓山區 河西一路1435號 2 樓,30,1500
86,梅樓商務空間,台灣高雄市鼓山區 河西一路1435號 2 樓,30,500
87,存子花園1491,台灣高雄市鼓山區 河西一路1435號 2 樓,12,300
88,米米庫,台灣高雄市鼓山區 河西一路1435號 2 樓,30,1500
89,北頭娛椿共同實驗空間,台灣高雄市鼓山區 河西一路1435號 2 樓,30,4000
90,Uni Furniture&Studio,台灣高雄市鼓山區 河西一路1435號 2 樓,4,800
91,居家整聊股份有限公司,台灣臺北市松山區 南京東路四段186號,30,1100
92,百代茶集,台灣臺北市松山區 南京東路四段186號,25,600
93,克里德菁英商務中心,台灣臺北市松山區 南京東路四段186號,8,1000
94,克里德菁英商務中心,台灣臺北市松山區 南京東路四段186號,5,1000
95,克里德菁英商務中心,台灣臺北市松山區 南京東路四段186號,10,1000
96,克里德菁英商務中心,台灣臺北市松山區 南京東路四段186號,6,600
97,家博士防水材料有限公司,台灣臺北市松山區 南京東路四段186號,30,3000
98,Gumgum Beer & Wings 雞翅啤酒吧,台灣臺北市松山區 南京東路四段186號,100,5500
99,無我空間影業,台灣臺北市松山區 南京東路四段186號,20,1500
100,群美資訊股份有限公司,台灣臺北市松山區 南京東路四段186號,50,2400
101,BIBC中山綻國際商務中心,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,5,600
102,伴工勤美館,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,8,300
103,益新國際,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,40,3000
104,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,12,450
105,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,12,400
106,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,6,350
107,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,8,450
108,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,6,250
109,朵躲雨小姐。療癒空間,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,10,200
110,JENNY CHOU,台灣臺北市大同區 南京西路57號 3 樓之 7 307E 室,35,2500
111,SY管理員,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,20,350
112,幸福能量 學苑,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,30,1200
113,幸福能量 學苑,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,10,700
114,幸福能量 學苑,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,4,350
115,蔚萊教育有限公司,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,25,2000
116,玩聚空間,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,12,400
117,玩聚空間,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,18,600
118,玩聚空間,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,16,700
119,玩聚空間,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,8,240
120,新竹頂贏國際商業股份有限公司,台灣新北市板橋區 新北市民權路302巷17號1樓 1 樓,27,450
121,裕豐公寓大廈管理維護股份有限公司,台灣新北市新店區 中興路3段3號 1 樓,500,57500
122,智璽會議中心,台灣新北市新店區 中興路3段3號 1 樓,40,7000
123,裕豐公寓大廈管理維護股份有限公司,台灣新北市新店區 中興路3段3號 1 樓,80,8050
124,萊客共享空間,台灣新北市新店區 中興路3段3號 1 樓,28,1200
125,玩聚空間,台灣新北市新店區 中興路3段3號 1 樓,40,1500
126,小草知識管理學院（GKM承德教室）,台灣新北市新店區 中興路3段3號 1 樓,100,3200
127,吾思學人內湖店,台灣新北市新店區 中興路3段3號 1 樓,25,500
128,小角落Hostel & Cafe,台灣新北市新店區 中興路3段3號 1 樓,16,1000
129,達睿共享空間,台灣新北市新店區 中興路3段3號 1 樓,50,1050
130,智璽會議中心,台灣新北市新店區 中興路3段3號 1 樓,20,4800
131,智璽會議中心,台灣臺北市中山區 南京東路二段206號 4 樓之 1,6,700
132,智璽會議中心,台灣臺北市中山區 南京東路二段206號 4 樓之 1,6,700
133,智璽會議中心,台灣臺北市中山區 南京東路二段206號 4 樓之 1,40,9000
134,豐溢創富學苑,台灣臺北市中山區 南京東路二段206號 4 樓之 1,30,1800
135,宜蘭人故事館,台灣臺北市中山區 南京東路二段206號 4 樓之 1,180,3000
136,宜蘭人故事館,台灣臺北市中山區 南京東路二段206號 4 樓之 1,52,5000
137,祥興國際商務中心,台灣臺北市中山區 南京東路二段206號 4 樓之 1,14,3000
138,達睿共享空間,台灣臺北市中山區 南京東路二段206號 4 樓之 1,30,850
139,達睿共享空間,台灣臺北市中山區 南京東路二段206號 4 樓之 1,40,950
140,達睿共享空間,台灣臺北市中山區 南京東路二段206號 4 樓之 1,20,750
141,達睿共享空間,台灣高雄市三民區 博愛一路287號 5 樓,6,300
142,新竹頂贏國際商業股份有限公司,台灣高雄市三民區 博愛一路287號 5 樓,10,300
143,新竹頂贏國際商業股份有限公司,台灣高雄市三民區 博愛一路287號 5 樓,5,150
144,24H空間共享,台灣高雄市三民區 博愛一路287號 5 樓,50,900
145,艾聚普股份有限公司,台灣高雄市三民區 博愛一路287號 5 樓,30,750
146,與點堂,台灣高雄市三民區 博愛一路287號 5 樓,30,2000
147,帕帕拉夏音樂學院,台灣高雄市三民區 博愛一路287號 5 樓,30,600
148,小草知識管理學院（GKM承德教室）,台灣高雄市三民區 博愛一路287號 5 樓,60,2800
149,小草知識管理學院（GKM承德教室）,台灣高雄市三民區 博愛一路287號 5 樓,10,1000
150,小草知識管理學院（GKM承德教室）,台灣高雄市三民區 博愛一路287號 5 樓,2,800
151,2 SEEDs Brunch,台灣臺北市大安區 大安路一段31巷42號 1 樓,25,2000
152,森棠藝術,台灣臺北市大安區 大安路一段31巷42號 1 樓,10,150
153,卡卡城,台灣臺北市大安區 大安路一段31巷42號 1 樓,50,800
154,ROOM58,台灣臺北市大安區 大安路一段31巷42號 1 樓,8,2000
155,Grill Hub 戶外烤肉派對會館,台灣臺北市大安區 大安路一段31巷42號 1 樓,60,1500
156,心家,台灣臺北市大安區 大安路一段31巷42號 1 樓,20,500
157,24H空間共享,台灣臺北市大安區 大安路一段31巷42號 1 樓,40,600
158,威保智能國際商務中心,台灣臺北市大安區 大安路一段31巷42號 1 樓,40,500
159,威保智能國際商務中心,台灣臺北市大安區 大安路一段31巷42號 1 樓,24,400
160,威保智能國際商務中心,台灣臺北市大安區 大安路一段31巷42號 1 樓,72,1000
161,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,60,900
162,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,100,1400
163,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,16,300
164,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,4,300
165,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,2,500
166,威保智能國際商務中心,台灣高雄市新興區 和平一路199號 12 樓,4,23
167,藝大精品咖啡館,台灣高雄市新興區 和平一路199號 12 樓,35,1500
168,Amor Fati 天命酒館,台灣高雄市新興區 和平一路199號 12 樓,25,1000
169,思博客商務中心,台灣高雄市新興區 和平一路199號 12 樓,8,450
170,ROOM58,台灣高雄市新興區 和平一路199號 12 樓,35,3800
171,職初共享藝術空間 JHIH CHU Atelier,台灣新北市中和區 中山路二段296號 7 樓之 2,30,2000
172,超越創新健康生活館,台灣新北市中和區 中山路二段296號 7 樓之 2,8,300
173,超越創新健康生活館,台灣新北市中和區 中山路二段296號 7 樓之 2,40,1000
174,BIBC中山綻國際商務中心,台灣新北市中和區 中山路二段296號 7 樓之 2,14,1000
175,BIBC中山綻國際商務中心,台灣新北市中和區 中山路二段296號 7 樓之 2,6,600
176,Epic Taipei展演空間,台灣新北市中和區 中山路二段296號 7 樓之 2,500,10000
177,桃園市經絡調理服務人員職業工會,台灣新北市中和區 中山路二段296號 7 樓之 2,100,3000
178,邊境工作室,台灣新北市中和區 中山路二段296號 7 樓之 2,100,2000
179,浩室物業有限公司,台灣新北市中和區 中山路二段296號 7 樓之 2,200,2400
180,浩室物業有限公司,台灣新北市中和區 中山路二段296號 7 樓之 2,50,4000
181,浩室物業有限公司,台灣臺北市萬華區 昆明街316號地下 1 樓,80,8000
182,新浩裕投資發展有限公司,台灣臺北市萬華區 昆明街316號地下 1 樓,8,250
183,暖心空間 Cozy Space,台灣臺北市萬華區 昆明街316號地下 1 樓,20,1200
184,萊客共享空間,台灣臺北市萬華區 昆明街316號地下 1 樓,220,500
185,萊客共享空間,台灣臺北市萬華區 昆明街316號地下 1 樓,20,300
186,JUR space 共享空間,台灣臺北市萬華區 昆明街316號地下 1 樓,45,1350
187,遇見好課,台灣臺北市萬華區 昆明街316號地下 1 樓,42,1200
188,嘎滴狼鐵板手作料理 Gadilung,台灣臺北市萬華區 昆明街316號地下 1 樓,14,600
189,冉月工作室,台灣臺北市萬華區 昆明街316號地下 1 樓,25,600
190,蕭譯權,台灣臺北市萬華區 昆明街316號地下 1 樓,18,360
191,Starterland 新創基地,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,8,300
192,甜家共同工作空間,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,20,600
193,甜家共同工作空間,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,3,300
194,甜家共同工作空間,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,6,350
195,勾勾婚禮,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,150,8000
196,Stage咖啡維度聚所,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,50,5000
197,甜家共同工作空間,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,3,300
198,甜家共同工作空間,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,6,350
199,捷運幸福站｜迷你宅,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,10,900
200,寰宇創新會議中心 UICBC Conference Center,台灣臺北市松山區 民生東路三段113巷7弄10號 1 樓,4,300
201,寰宇創新會議中心 UICBC Conference Center,台灣臺北市松山區 民權東路178號 7 樓,6,500
202,Sēn yi 森一空間,台灣臺北市松山區 民權東路178號 7 樓,50,1500
203,DreamMaker Hub 造夢基地共享空間-台南民族館,台灣臺北市松山區 民權東路178號 7 樓,20,300
204,桌弄有限公司,台灣臺北市松山區 民權東路178號 7 樓,40,1000
205,艾莎59共享空間,台灣臺北市松山區 民權東路178號 7 樓,6,220
206,Real Place場地租借/共享空間,台灣臺北市松山區 民權東路178號 7 樓,40,800
207,Real Place場地租借/共享空間,台灣臺北市松山區 民權東路178號 7 樓,15,500
208,宅zài風格生活,台灣臺北市松山區 民權東路178號 7 樓,15,1200
209,丘琦欣,台灣臺北市松山區 民權東路178號 7 樓,70,1700
210,動力家極限運動場,台灣臺北市松山區 民權東路178號 7 樓,80,5000
211,歐德職能培訓有限公司,台灣新竹縣竹東鎮 中興路三段114號 1 樓,16,1000
212,轉屋,台灣新竹縣竹東鎮 中興路三段114號 1 樓,11,600
213,社團法人台灣職業技能訓練學會,台灣新竹縣竹東鎮 中興路三段114號 1 樓,35,3000
214,華燈市,台灣新竹縣竹東鎮 中興路三段114號 1 樓,350,3200
215,忽然散步店長,台灣新竹縣竹東鎮 中興路三段114號 1 樓,20,300
216,睿智國際投資股份有限公司,台灣新竹縣竹東鎮 中興路三段114號 1 樓,35,1000
217,聯經出版事業股份有限公司,台灣新竹縣竹東鎮 中興路三段114號 1 樓,60,733
218,❤️拾異空間❤️ 松山車站旁_雙捷運+ 台鐵_高CP值教室場地,台灣新竹縣竹東鎮 中興路三段114號 1 樓,10,400
219,中台灣創新園區,台灣新竹縣竹東鎮 中興路三段114號 1 樓,14,700
220,中台灣創新園區,台灣新竹縣竹東鎮 中興路三段114號 1 樓,48,1000
221,拾六 TEA &  SPACE,台灣臺中市豐原區 圓環北路二段16號,20,500
222,中台灣創新園區,台灣臺中市豐原區 圓環北路二段16號,30,800
223,中台灣創新園區,台灣臺中市豐原區 圓環北路二段16號,48,1000
224,中台灣創新園區,台灣臺中市豐原區 圓環北路二段16號,78,1800
225,中台灣創新園區,台灣臺中市豐原區 圓環北路二段16號,210,2250
226,中台灣創新園區,台灣臺中市豐原區 圓環北路二段16號,250,3250
227,金采攝影棚,台灣臺中市豐原區 圓環北路二段16號,25,600
228,R23糖倉會展中心,台灣臺中市豐原區 圓環北路二段16號,120,3500
229,R23糖倉會展中心,台灣臺中市豐原區 圓環北路二段16號,120,9520
230,願由好室,台灣臺中市豐原區 圓環北路二段16號,12,700
231,R23糖倉會展中心,台灣高雄市橋頭區 糖廠路24號,350,13000
232,R23糖倉會展中心,台灣高雄市橋頭區 糖廠路24號,350,65000
233,R23糖倉會展中心,台灣高雄市橋頭區 糖廠路24號,350,13500
234,R23糖倉會展中心,台灣高雄市橋頭區 糖廠路24號,100,4300
235,凱齡爾靚眼美學中心,台灣高雄市橋頭區 糖廠路24號,60,2000
236,可喜空間台南館,台灣高雄市橋頭區 糖廠路24號,20,500
237,可喜空間台南館,台灣高雄市橋頭區 糖廠路24號,20,500
238,可喜空間台南館,台灣高雄市橋頭區 糖廠路24號,40,1000
239,有艇俱樂部,台灣高雄市橋頭區 糖廠路24號,60,24000
240,DreamMaker Hub 造夢基地共享空間-台南民族館,台灣高雄市橋頭區 糖廠路24號,20,80
241,樂活教室,台灣臺北市內湖區 瑞光路337號 8 樓,20,1800
242,Fatty,台灣臺北市內湖區 瑞光路337號 8 樓,30,900
243,花彩Suzalon,台灣臺北市內湖區 瑞光路337號 8 樓,30,1800
244,Create Cafe 創造咖啡店,台灣臺北市內湖區 瑞光路337號 8 樓,45,5000
245,珈拿莊園,台灣臺北市內湖區 瑞光路337號 8 樓,330,10000
246,台北市室內設計裝修商業同業公會,台灣臺北市內湖區 瑞光路337號 8 樓,50,7000
247,艾瑞瓷精密股份有限公司,台灣臺北市內湖區 瑞光路337號 8 樓,10,1000
248,隅生咖啡工作室,台灣臺北市內湖區 瑞光路337號 8 樓,12,1000
249,DreamMaker Hub 造夢基地共享空間-台南民族館,台灣臺北市內湖區 瑞光路337號 8 樓,60,60
250,獺空間 Aotter Space,台灣臺北市內湖區 瑞光路337號 8 樓,60,2300
251,獺空間 Aotter Space,台灣臺北市松山區 光復北路95號 1 樓,4,700
252,易棧物業投資顧問有限公司,台灣臺北市松山區 光復北路95號 1 樓,10,750
253,⟢ Ｍ號棚攝影棚出租 ⟣,台灣臺北市松山區 光復北路95號 1 樓,15,1500
254,左鄰右舍藝文展演空間,台灣臺北市松山區 光復北路95號 1 樓,250,12400
255,艾可音樂中心 Artco Music,台灣臺北市松山區 光復北路95號 1 樓,20,1500
256,艾可音樂中心 Artco Music,台灣臺北市松山區 光復北路95號 1 樓,8,200
257,逸空間 Yi-Spaces,台灣臺北市松山區 光復北路95號 1 樓,60,5050
258,逸空間 Yi-Spaces,台灣臺北市松山區 光復北路95號 1 樓,70,6000
259,我們的力量股份有限公司,台灣臺北市松山區 光復北路95號 1 樓,150,12474
260,夢境花藝,台灣臺北市松山區 光復北路95號 1 樓,10,850
261,貓舌頭自助廚房,台灣臺中市北區 忠太東路117號 1 樓,10,650
262,Terminal C 兆基國際新創聚落,台灣臺中市北區 忠太東路117號 1 樓,16,500
263,Terminal C 兆基國際新創聚落,台灣臺中市北區 忠太東路117號 1 樓,8,500
264,左鄰右舍藝文展演空間,台灣臺中市北區 忠太東路117號 1 樓,250,12400
265,Le Phare 共享空間 - 新左營館,台灣臺中市北區 忠太東路117號 1 樓,8,1500
266,Le Phare 共享空間 - 新左營館,台灣臺中市北區 忠太東路117號 1 樓,8,1000
267,BIBC中山綻國際商務中心,台灣臺中市北區 忠太東路117號 1 樓,6,600
268,Le Phare 共享空間 - 新左營館,台灣臺中市北區 忠太東路117號 1 樓,50,2000
269,Le Phare 共享空間 - 新左營館,台灣臺中市北區 忠太東路117號 1 樓,5,500
270,Le Phare 共享空間 - 新左營館,台灣臺中市北區 忠太東路117號 1 樓,100,3500
271,Le Phare 共享空間 - 新左營館,台灣高雄市左營區 站前北路1號 4 樓,6,500
272,瞇瞇眼遇見花花藝工作室,台灣高雄市左營區 站前北路1號 4 樓,20,300
273,無敵海景宅,台灣高雄市左營區 站前北路1號 4 樓,20,1500
274,囧貓苑子,台灣高雄市左營區 站前北路1號 4 樓,40,1800
275,品空間,台灣高雄市左營區 站前北路1號 4 樓,20,1500
276,美學空間「沃德商務中心」,台灣高雄市左營區 站前北路1號 4 樓,8,420
277,川端藝會所(廈川玖肆),台灣高雄市左營區 站前北路1號 4 樓,20,2000
278,品空間,台灣高雄市左營區 站前北路1號 4 樓,25,1600
279,太古華電,台灣高雄市左營區 站前北路1號 4 樓,18,1500
280,頭家製造所 l 頭家空間,台灣高雄市左營區 站前北路1號 4 樓,25,400
281,洽恰好室,台灣臺北市大安區 信義路三段23之1號 2 樓,20,1200
282,boven雜誌圖書館,台灣臺北市大安區 信義路三段23之1號 2 樓,50,3150
283,派湃有限公司,台灣臺北市大安區 信義路三段23之1號 2 樓,60,1260
284,邱先生,台灣臺北市大安區 信義路三段23之1號 2 樓,20,350
285,菲比教室,台灣臺北市大安區 信義路三段23之1號 2 樓,18,450
286,療寮,台灣臺北市大安區 信義路三段23之1號 2 樓,30,1000
287,火山口 Crater Lounge,台灣臺北市大安區 信義路三段23之1號 2 樓,80,1333
288,杰樂文化事業有限公司,台灣臺北市大安區 信義路三段23之1號 2 樓,5,400
289,IM國際百老匯,台灣臺北市大安區 信義路三段23之1號 2 樓,50,1000
290,IM國際百老匯,台灣臺北市大安區 信義路三段23之1號 2 樓,3,200
291,IM國際百老匯,台灣臺北市大安區 安和路一段102巷9號 1 樓,3,200
292,IM國際百老匯,台灣臺北市大安區 安和路一段102巷9號 1 樓,12,400
293,美學空間「沃德商務中心」,台灣臺北市大安區 安和路一段102巷9號 1 樓,12,630
294,千島生活文化有限公司,台灣臺北市大安區 安和路一段102巷9號 1 樓,20,800
295,潤昇工作室,台灣臺北市大安區 安和路一段102巷9號 1 樓,50,600
296,南村劇場．青鳥．有.設計,台灣臺北市大安區 安和路一段102巷9號 1 樓,120,20000
297,千島生活文化有限公司,台灣臺北市大安區 安和路一段102巷9號 1 樓,8,400
298,瑪丹林企業社,台灣臺北市大安區 安和路一段102巷9號 1 樓,30,2500
299,達人咖啡,台灣臺北市大安區 安和路一段102巷9號 1 樓,18,150
300,Drink in >,台灣臺北市大安區 安和路一段102巷9號 1 樓,40,1500
301,影響力領袖聯合基地,台灣臺中市西屯區 市政北二路282號 20 樓之 3,30,4800
302,中華消防協會,台灣臺中市西屯區 市政北二路282號 20 樓之 3,60,1200
303,城理顧問股份有限公司,台灣臺中市西屯區 市政北二路282號 20 樓之 3,172,30000
304,城理顧問股份有限公司,台灣臺中市西屯區 市政北二路282號 20 樓之 3,200,9000
305,八爪魚創意娛樂行銷有限公司,台灣臺中市西屯區 市政北二路282號 20 樓之 3,20,600
306,從前從前劇本館,台灣臺中市西屯區 市政北二路282號 20 樓之 3,8,500
307,緯育股份有限公司附設中壢職訓中心,台灣臺中市西屯區 市政北二路282號 20 樓之 3,56,1400
308,PiBo Space,台灣臺中市西屯區 市政北二路282號 20 樓之 3,14,850
309,城理顧問股份有限公司,台灣臺中市西屯區 市政北二路282號 20 樓之 3,300,7500
310,Create Cafe 創造咖啡店,台灣臺中市西屯區 市政北二路282號 20 樓之 3,40,3000
311,盈泰物業管理顧問有限公司,台灣新北市板橋區 中正路176號 3 樓,10,300
312,喜滿客影城【絕色店】,台灣新北市板橋區 中正路176號 3 樓,6,1500
313,GO GYM 健身俱樂部,台灣新北市板橋區 中正路176號 3 樓,12,1000
314,EnJoin' x JECHO,台灣新北市板橋區 中正路176號 3 樓,16,1300
315,WEIBO商務共享空間,台灣新北市板橋區 中正路176號 3 樓,48,800
316,Refine13_coffee,台灣新北市板橋區 中正路176號 3 樓,20,2500
317,GO GYM 健身俱樂部,台灣新北市板橋區 中正路176號 3 樓,35,2000
318,日日輕居系統傢居,台灣新北市板橋區 中正路176號 3 樓,10,700
319,相癒心理諮商所,台灣新北市板橋區 中正路176號 3 樓,4,350
